PacketCounter,SampleTimeFine,_Quat_W,_Quat_X,_Quat_Y,_Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
1254,1155825980,0.116075508,0.495227784,-0.083767176,0.856889248,13.09604073,-0.343202323,2.68598628,-3.606167793,115.3957443,0.333616525,-1.037597656,-0.001953125,-0.427246094, 
1255,1155834313,0.117008775,0.487584263,-0.082940727,0.861215234,13.52794552,-1.397884488,1.926862955,-2.562032938,121.2161179,-1.761808276,-1.038574219,0.009277344,-0.453125, 
1256,1155842646,0.117661633,0.479552269,-0.081918061,0.865722299,16.14013481,-0.920546591,3.88995266,1.252528191,127.0098038,0.960598648,-1.022460938,0.016601563,-0.450683594, 
1257,1155850979,0.118188314,0.470610172,-0.08094418,0.87063539,16.96861267,0.624247849,4.040183067,0.458976537,140.3183136,4.483375549,-1.024902344,0.022460938,-0.475585938, 
1258,1155859312,0.119607955,0.460801452,-0.079923436,0.875767231,17.66201782,2.499269724,2.507686853,-5.908635139,153.1797638,-5.212886333,-1.010253906,0.028320313,-0.475097656, 
1259,1155867645,0.121953495,0.449960709,-0.079103135,0.881138742,17.12343216,3.044531822,2.6412642,-15.63834476,167.8171997,-13.54263973,-1.008300781,0.03125,-0.501953125, 
1260,1155875978,0.125066981,0.438777298,-0.078379199,0.886391342,19.57577896,2.147214413,4.128867626,-22.24674225,171.9205933,-22.09592247,-0.995605469,0.030761719,-0.502929688, 
1261,1155884311,0.129088297,0.426032573,-0.07747034,0.89209348,22.49765587,3.883980274,0.702174604,-27.68793678,194.9497681,-31.80474854,-0.9921875,0.03125,-0.530761719, 
1262,1155892644,0.1342168,0.411479861,-0.076849021,0.898200691,20.35124207,6.037516594,-1.398589134,-40.46974945,220.2132721,-41.07040787,-0.98046875,0.028808594,-0.53515625, 
1263,1155900977,0.140651762,0.395962536,-0.076626621,0.904189885,19.93388939,6.067214966,-0.240744025,-54.70453644,232.068634,-54.13861847,-0.967773438,0.025878906,-0.568847656, 
1264,1155909310,0.148475334,0.379184157,-0.077193044,0.910063684,20.94978333,4.038057804,1.085384011,-74.64469147,247.1333008,-66.00667572,-0.947753906,0.018066406,-0.581542969, 
1265,1155917643,0.156925172,0.360418886,-0.078401409,0.91614747,20.24002266,0.600235641,4.488274097,-89.77442169,272.3808899,-67.95774841,-0.935546875,0.013183594,-0.615722656, 
