PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
5232,1254372038,0.569968283,0.349080712,-0.69307375,0.270052463,10.46419621,-2.504192591,-3.588322639,26.1838913,-40.98750687,13.88846684,-1.013671875,0.297363281,-0.325683594
5233,1254380371,0.567496777,0.350204527,-0.694308102,0.270631522,10.68636894,-0.359449923,-3.668680429,21.01239967,-34.81683731,8.889522552,-1.035644531,0.301757813,-0.318359375
5234,1254388704,0.565442681,0.350741893,-0.695703089,0.270651937,10.43708038,1.03531599,-3.307211399,8.489374161,-32.33089066,9.341023445,-1.026855469,0.296875,-0.310546875
5235,1254397037,0.563674152,0.350587159,-0.697492898,0.269933939,10.15016174,0.650606751,-3.004209757,-6.799255371,-33.91720581,11.07188129,-1.047851563,0.299316406,-0.305175781
5236,1254405370,0.562022805,0.35035494,-0.699327588,0.268930078,10.05220509,-0.276286483,-3.422653913,-10.87830257,-33.95944977,9.372094154,-1.041015625,0.296875,-0.296386719
5237,1254413703,0.560555995,0.350419581,-0.700731456,0.268252552,9.917425156,-0.453377277,-3.463924408,-4.735358238,-28.65192604,6.287645817,-1.057617188,0.300292969,-0.287109375
5238,1254422036,0.559140623,0.35077405,-0.701787412,0.267981738,9.272148132,-0.121280439,-3.604431868,2.447223663,-24.3090744,4.759216309,-1.049804688,0.296386719,-0.272460938
5239,1254430369,0.557714045,0.351190001,-0.702767491,0.267841309,8.847807884,0.06565991,-3.024399757,4.518391609,-23.70806122,4.850454807,-1.067382813,0.30078125,-0.266113281
5240,1254438702,0.556296706,0.351465523,-0.703828752,0.267641038,8.980254173,-0.004719396,-2.787914038,2.51164341,-23.72647667,6.093437195,-1.057128906,0.297851563,-0.253417969
5241,1254447035,0.554782212,0.35181132,-0.704829276,0.267697573,9.513531685,-0.381650329,-2.969455481,6.235904217,-23.50517273,7.454323292,-1.075683594,0.297363281,-0.246582031
5242,1254455368,0.553276062,0.352151036,-0.705801964,0.26780507,10.18129158,-0.503081262,-2.708470345,6.738635063,-22.65682793,7.72491169,-1.06640625,0.294921875,-0.236816406
5243,1254463701,0.551807642,0.352509469,-0.706709921,0.267968863,10.57729626,-0.228651464,-2.324618578,7.48936224,-21.87969208,7.530473232,-1.081054688,0.299804688,-0.231445313
5244,1254472034,0.550494611,0.352889359,-0.707528114,0.268010497,10.50697327,0.017149549,-2.497225523,5.348344803,-20.07870102,5.548698902,-1.075195313,0.295410156,-0.221191406
5245,1254480367,0.549252689,0.353344262,-0.708270848,0.267997235,10.08006477,0.319384843,-2.664865255,6.009396553,-19.64085007,3.614951134,-1.090332031,0.296875,-0.211425781
5246,1254488700,0.548079669,0.3537229,-0.709086597,0.267742157,9.58114624,0.279755175,-2.47479105,1.918929338,-20.13368797,2.756309986,-1.080566406,0.291992188,-0.203613281
5247,1254497033,0.547022879,0.353965551,-0.709946692,0.267302901,9.243895531,0.414466918,-2.131519556,-1.075465322,-20.01095009,2.356779337,-1.094726563,0.29296875,-0.195800781
5248,1254505366,0.545810342,0.354247183,-0.710918307,0.266825229,9.148907661,0.174309626,-2.572520494,-1.236015439,-22.41794777,2.899289131,-1.078125,0.290527344,-0.186523438
5249,1254513699,0.544546485,0.354378223,-0.712032795,0.266261637,9.487833977,-0.129740804,-2.020391464,-3.053141832,-24.14173889,4.515472412,-1.096191406,0.289550781,-0.176269531
5250,1254522032,0.54329288,0.354479015,-0.713169038,0.265646636,9.66791153,0.216561854,-1.702506065,-4.139697552,-24.06112862,4.539702892,-1.084472656,0.290039063,-0.165039063
5251,1254530365,0.54198575,0.354451448,-0.714455962,0.264894456,9.933152199,0.020291047,-1.605724096,-6.506890297,-26.19382286,5.656867981,-1.100585938,0.290527344,-0.155761719
5252,1254538698,0.540603101,0.354416817,-0.715774536,0.264204741,10.0297718,-0.051001858,-1.3209548,-5.675965309,-26.56467247,6.602240562,-1.086914063,0.286621094,-0.142578125
5253,1254547031,0.539116323,0.354465455,-0.717084408,0.263624996,9.745675087,0.244744569,-1.346699119,-3.452058792,-27.5663662,6.956460476,-1.103027344,0.2890625,-0.135742188
5254,1254555364,0.53738308,0.354442745,-0.718652487,0.262924135,9.537446976,0.341028303,-1.369289041,-4.782079697,-31.97773743,8.860088348,-1.091308594,0.283203125,-0.126953125
5255,1254563697,0.535544038,0.354345649,-0.720397651,0.262030005,9.467723846,0.731159151,-1.182493091,-7.494324207,-35.2712059,9.464996338,-1.103027344,0.286132813,-0.115722656
5256,1254572030,0.533556461,0.35419789,-0.722363174,0.260870337,9.640982628,1.005747199,-1.298226357,-10.56178856,-39.22377777,9.607491493,-1.093261719,0.282226563,-0.100097656
5257,1254580363,0.53145808,0.353841364,-0.724610448,0.259401262,9.935184479,0.836099267,-1.087252736,-15.64451218,-43.40173721,11.1952734,-1.105957031,0.288085938,-0.090332031
5258,1254588696,0.529126883,0.353216201,-0.727231443,0.257677972,9.827001572,-0.011979675,-1.745258331,-20.1777153,-48.49071503,14.6053133,-1.092285156,0.283691406,-0.079589844
5259,1254597029,0.526908517,0.351794034,-0.73019594,0.255778998,10.12329292,-2.307508945,-0.205183521,-29.66196823,-48.13406754,22.623909,-1.100585938,0.290039063,-0.0625
5260,1254605362,0.523992777,0.350967795,-0.733007252,0.254860818,9.723438263,-2.660498857,-2.204856157,-11.41967869,-51.14755249,25.4009304,-1.090820313,0.286621094,-0.052246094
5261,1254613695,0.521375835,0.350366771,-0.735643089,0.253456354,9.756662369,1.365584731,-0.509496987,-15.69009399,-50.23713303,17.79063416,-1.102539063,0.288574219,-0.037109375
5262,1254622028,0.51935029,0.348834574,-0.738994837,0.249953732,8.873902321,3.957339764,-1.38596642,-48.73921585,-56.03841019,13.46863461,-1.087402344,0.2890625,-0.028320313
5263,1254630361,0.51696378,0.346888065,-0.743055999,0.245530978,8.907693863,2.306183577,-2.166069746,-61.95306015,-67.97479248,15.83910465,-1.099609375,0.291015625,-0.006835938
5264,1254638694,0.514301181,0.34500438,-0.747241914,0.241032198,9.422678947,0.395543754,-1.974099159,-61.17430878,-72.0602417,16.10932159,-1.087402344,0.290527344,0.010742188
5265,1254647027,0.511293113,0.34375158,-0.751076996,0.237272501,9.690168381,0.525174439,-2.947009325,-46.52925491,-71.91275024,14.40757751,-1.096679688,0.291992188,0.032226563
