PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
2875,1234739490,0.056283053,0.672667742,-0.015309446,0.737642586,9.60703373,0.398269922,3.48643446,35.29545212,99.68442535,15.63448429,-1.174804688,-0.860839844,0.462402344
2876,1234747823,0.054807659,0.668132901,-0.014630413,0.741876662,6.704325676,-0.977412939,6.089113712,19.19655037,84.6734314,12.06501389,-1.228515625,-0.857421875,0.430664063
2877,1234756156,0.053989545,0.665442288,-0.014295302,0.744357288,7.214727402,0.078687735,3.101718664,10.84915066,49.1208992,6.677863598,-1.210449219,-0.8515625,0.423339844
2878,1234764489,0.053200264,0.663631022,-0.013853403,0.746037602,9.45208931,-0.208344623,-0.191251546,12.01176929,33.38259125,4.788599014,-1.26953125,-0.851074219,0.395019531
2879,1234772822,0.05172275,0.661425471,-0.013036074,0.748111963,9.643562317,0.436180711,1.01972568,22.08695793,40.65552139,8.63628006,-1.25,-0.848632813,0.384765625
2880,1234781155,0.050155226,0.659556925,-0.012122605,0.749881804,8.695662498,1.285245538,1.923058271,23.92221069,34.97986984,8.560637474,-1.311035156,-0.842285156,0.354492188
2881,1234789488,0.048932452,0.65767765,-0.011552045,0.751620173,10.54564571,2.670386791,2.192503691,17.41259003,34.14011765,7.953678608,-1.297363281,-0.838867188,0.345214844
2882,1234797821,0.04818178,0.655783415,-0.01184657,0.753317297,9.391009331,2.062014103,2.374814034,4.018301487,33.90200043,11.01299477,-1.353515625,-0.830078125,0.314453125
2883,1234806154,0.047711227,0.65433687,-0.012296813,0.754596591,9.3371315,0.257473797,1.926272392,0.270140678,24.9616375,9.045684814,-1.335449219,-0.824707031,0.30078125
2884,1234814487,0.047250398,0.652929008,-0.012537241,0.755840063,8.950406075,-0.259825081,2.375014305,2.216900826,24.85303307,7.148796558,-1.390625,-0.813964844,0.263671875
2885,1234822820,0.047022406,0.651679695,-0.012783401,0.756927669,8.139079094,0.076020226,2.074282646,0.286123931,21.37612724,4.542391777,-1.369628906,-0.810058594,0.247070313
2886,1234831153,0.046952303,0.650725663,-0.012893079,0.757750452,8.81396389,-0.378115714,1.388111234,0.292015135,16.51133728,1.561021566,-1.416503906,-0.80078125,0.20703125
2887,1234839486,0.046995465,0.649569213,-0.013135482,0.758735299,8.722840309,-0.188703001,2.42411828,-2.05770731,19.54809952,1.60104382,-1.384277344,-0.792480469,0.1875
2888,1234847819,0.047275368,0.64859724,-0.013298471,0.75954622,10.36271572,0.086449251,2.752286196,-3.403312683,16.62160492,-1.61582303,-1.42578125,-0.78125,0.142089844
2889,1234856152,0.047677204,0.647497773,-0.013708587,0.760451198,9.785140991,-0.349553078,2.613883495,-6.98820591,18.21086884,-0.710718393,-1.384765625,-0.771484375,0.120117188
2890,1234864485,0.048235856,0.646878123,-0.013817601,0.760941148,10.46314144,-0.385162503,0.895015538,-5.150305271,10.1649971,-5.283551216,-1.419433594,-0.760253906,0.071289063
2891,1234872818,0.048687242,0.64566046,-0.01417277,0.761939526,10.1891098,0.012866569,2.48250699,-6.932674885,20.33003807,-1.63144803,-1.381835938,-0.749511719,0.056152344
2892,1234881151,0.04934549,0.644965887,-0.014377591,0.762481451,9.487801552,-0.699421942,1.22516048,-7.07096386,11.37242603,-5.431857586,-1.409179688,-0.737304688,0.017578125
2893,1234889484,0.049957536,0.644006848,-0.014595449,0.763247609,10.82206821,0.78676486,1.854859591,-6.808674812,15.69634342,-4.740145683,-1.3671875,-0.728027344,0.005859375
2894,1234897817,0.050501492,0.642839015,-0.015030537,0.764187157,9.123399734,-0.317841679,3.314141989,-8.719293594,19.67933273,-1.827960372,-1.387695313,-0.717773438,-0.033203125
2895,1234906150,0.051151782,0.642127752,-0.015213166,0.764738142,9.549446106,0.363101631,1.776741862,-6.627633095,11.24481678,-5.647453308,-1.349121094,-0.705078125,-0.0390625
2896,1234914483,0.051686913,0.64116931,-0.015653439,0.765497148,9.887487411,0.635876596,2.287783623,-8.592849731,15.87373543,-1.855611086,-1.366699219,-0.686523438,-0.073242188
