PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
906,1218323480,0.758801222,-0.196007669,-0.208088055,-0.585237205,5.205299377,0.009035778,7.729358673,0.389041811,2.796395779,-2.796485186,-0.882324219,1.50390625,-1.1328125
907,1218331813,0.75869751,-0.196202129,-0.208246201,-0.585250318,4.168940544,-0.305984348,7.421298504,-1.647302628,-3.298831463,-0.821448565,-0.915039063,1.501953125,-1.145996094
908,1218340146,0.758578241,-0.196577981,-0.208474711,-0.58519733,5.407021999,-0.335627079,7.619446278,-2.781500816,-5.30045557,0.054468669,-0.916992188,1.494628906,-1.139160156
909,1218348479,0.758477211,-0.196847856,-0.208580792,-0.585199893,5.237438202,-0.159033656,7.848227024,-2.815542221,-3.384127378,-0.331115216,-0.954101563,1.4921875,-1.149414063
910,1218356812,0.75836277,-0.197150245,-0.208727092,-0.585194111,5.158479691,-0.398794025,8.044822693,-2.801582575,-3.710811615,-0.388414264,-0.961425781,1.483886719,-1.139160156
911,1218365145,0.758218646,-0.197487995,-0.208843052,-0.585225642,5.14546442,-0.816756785,8.011395454,-3.644521475,-4.080066204,-0.812560439,-0.994140625,1.48046875,-1.151855469
912,1218373478,0.758023679,-0.197833598,-0.209052086,-0.585286975,6.367421627,-0.916954994,7.852394581,-3.161206245,-4.761609077,-1.779805064,-1.004394531,1.471191406,-1.143554688
913,1218381811,0.757864475,-0.197730511,-0.208966494,-0.585558295,5.016218185,-0.676893353,8.29077816,-1.400919437,2.178785324,-4.153066635,-1.038574219,1.467773438,-1.145507813
914,1218390144,0.75763905,-0.19794412,-0.209159598,-0.585708976,3.697432041,-1.25705421,7.741344929,-2.248007536,-3.378108025,-3.291634321,-1.049804688,1.453125,-1.134277344
915,1218398477,0.757307172,-0.198376849,-0.209545493,-0.585853875,6.494965076,-0.755138993,7.546139717,-3.293683767,-7.88964653,-3.96598053,-1.086914063,1.443847656,-1.134765625
916,1218406810,0.757065833,-0.198258758,-0.209552541,-0.586203039,4.542969704,-0.633034289,7.740687847,-0.907000244,1.722134829,-5.941299438,-1.096679688,1.4296875,-1.122558594
917,1218415143,0.756753325,-0.198454529,-0.209887788,-0.586420238,4.133721828,-1.194132566,7.736131191,-1.387830496,-5.200919151,-5.109912395,-1.12890625,1.422363281,-1.118164063
918,1218423476,0.756376147,-0.198582336,-0.210216522,-0.586745918,5.55932951,-0.823971391,7.789379597,-1.175821662,-4.062853336,-6.959337711,-1.13671875,1.407714844,-1.107421875
919,1218431809,0.756002426,-0.198493361,-0.210398003,-0.587192595,4.881616592,-1.026986599,7.8623209,-0.4954561,-0.854157865,-8.39245224,-1.171875,1.395996094,-1.100585938
920,1218440142,0.755593121,-0.198540106,-0.210767597,-0.587570727,5.990667343,-0.92379272,7.567274094,-0.239851698,-3.785784245,-8.116332054,-1.174316406,1.379882813,-1.087890625
921,1218448475,0.755210817,-0.198250994,-0.210841715,-0.588133156,6.241122246,-0.607793987,7.949546337,0.354923695,2.170409918,-9.953436852,-1.204101563,1.37109375,-1.080566406
922,1218456808,0.754801035,-0.197848305,-0.210964248,-0.58875066,4.040386677,-1.025620461,7.986103058,1.740935802,3.066114187,-11.23555756,-1.203613281,1.354003906,-1.060546875
923,1218465141,0.754338801,-0.197706208,-0.211357892,-0.589249372,5.151638031,-0.72767216,8.044148445,1.383591533,-2.741952896,-10.38152695,-1.225585938,1.343261719,-1.057617188
924,1218473474,0.753862917,-0.197503015,-0.211823672,-0.589758813,5.770590782,-0.445871979,7.688152313,2.586820364,-2.599128008,-11.0054388,-1.228027344,1.324707031,-1.04296875
925,1218481807,0.753346086,-0.197310135,-0.212294638,-0.590314209,5.124999046,-0.232347801,8.117961884,2.223635912,-3.137820959,-11.76823044,-1.25,1.310058594,-1.041015625
926,1218490140,0.752862692,-0.197108597,-0.212923348,-0.590771556,2.927705526,-0.659689426,8.06373024,4.016351223,-4.460899353,-10.97206497,-1.245605469,1.293457031,-1.0234375
927,1218498473,0.752294898,-0.197527558,-0.213949919,-0.590984046,5.577007771,-0.407915056,7.9652071,1.267277479,-14.9411726,-8.348577499,-1.266113281,1.278808594,-1.024414063
928,1218506806,0.751829803,-0.197504148,-0.214617923,-0.591341496,5.254680634,0.016593214,8.392892838,2.829643488,-6.544591904,-9.371969223,-1.262695313,1.259765625,-1.007324219
929,1218515139,0.751399517,-0.197781026,-0.215585157,-0.591444016,4.043081284,-0.783412158,8.039419174,2.957535744,-13.065979,-6.348079681,-1.284179688,1.248535156,-1.010742188
930,1218523472,0.750869572,-0.198376283,-0.21678032,-0.591480732,7.233021736,-0.248165712,8.183625221,1.48871243,-18.08905792,-6.187682629,-1.278320313,1.23046875,-0.995605469
