PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
3736,1176500153,0.277265221,0.217097014,-0.934965789,0.042832561,4.323377609,0.931051254,-3.868206501,23.26511574,-37.57575607,24.29742241,-0.841308594,0.320800781,0.731445313
3737,1176508486,0.275152206,0.21581386,-0.935866058,0.043280043,5.431529522,0.897230625,-4.593407154,6.056581974,-29.14933777,22.06728745,-0.837402344,0.332519531,0.708984375
3738,1176516819,0.274217695,0.215013787,-0.936299682,0.043811101,6.85903883,0.204602256,-5.162039757,5.743058681,-11.80455494,14.09844875,-0.83984375,0.334472656,0.72265625
3739,1176525152,0.275236189,0.214979038,-0.935965359,0.0447255,7.330532074,-0.97814697,-5.001392365,8.251436234,16.44807053,2.227939367,-0.841796875,0.33984375,0.696777344
3740,1176533485,0.278089225,0.215734839,-0.934885085,0.046014026,6.551624298,-2.043352842,-5.071385384,11.09627342,43.96631241,-9.848640442,-0.851074219,0.342773438,0.705566406
3741,1176541818,0.282257199,0.21719116,-0.933168828,0.048551891,5.327183723,-2.478438854,-5.464241505,26.33405113,66.08504486,-16.81349182,-0.853027344,0.344238281,0.671875
3742,1176550151,0.287325114,0.219097301,-0.930962265,0.052464213,4.330586433,-2.373031378,-5.629870415,43.3612442,83.82235718,-19.29997253,-0.868652344,0.348632813,0.667480469
3743,1176558484,0.293305039,0.221111014,-0.928329349,0.057351124,3.942117453,-2.084076166,-5.601043224,53.8093338,99.54750061,-18.78761673,-0.875976563,0.359863281,0.630859375
3744,1176566817,0.300277621,0.222948134,-0.92531848,0.062577046,4.039096832,-1.511268139,-5.750777245,54.71899033,115.4087677,-17.07881927,-0.894042969,0.361328125,0.622558594
3745,1176575150,0.308245093,0.224544674,-0.921943545,0.067726955,4.209059715,-0.870117903,-5.865653038,49.99544907,129.0537262,-16.32525635,-0.901855469,0.369140625,0.580566406
3746,1176583483,0.316977322,0.22606349,-0.918214083,0.072840802,4.253180504,-0.288835496,-5.667354107,47.20359802,140.7070923,-17.27829361,-0.913574219,0.370605469,0.565917969
3747,1176591816,0.326652139,0.227635071,-0.914005637,0.077952221,4.174758434,0.117779061,-5.250294685,44.92436981,154.1433563,-20.40917778,-0.922851563,0.376464844,0.521484375
3748,1176600149,0.337086916,0.229253083,-0.909364283,0.082911186,3.947263002,0.005370776,-5.159680843,41.3300972,165.6069641,-23.82642174,-0.938964844,0.376464844,0.506835938
3749,1176608482,0.348286182,0.230950251,-0.904223204,0.087985687,3.824045181,-0.2980088,-5.456820011,41.27627563,177.2689362,-26.74540901,-0.946289063,0.377929688,0.459472656
3750,1176616815,0.360143572,0.232698709,-0.898580134,0.093296148,3.777925968,-0.226861104,-5.787186623,42.9989624,189.0346527,-28.62664413,-0.962890625,0.380371094,0.439453125
3751,1176625148,0.372710079,0.234393954,-0.892431259,0.098567955,3.791040897,-0.030414008,-5.986896992,40.61631393,199.7639008,-30.70121956,-0.967285156,0.380371094,0.387695313
3752,1176633481,0.385803282,0.236080781,-0.885794163,0.103889316,3.875876665,0.31273061,-6.194817543,40.16767502,209.3843079,-32.62026978,-0.984863281,0.380371094,0.366699219
3753,1176641814,0.399471492,0.237597734,-0.878697753,0.108914979,4.131900787,0.597771287,-6.05456543,34.43627548,217.637619,-34.44028473,-0.987304688,0.379882813,0.312011719
3754,1176650147,0.413645267,0.238760784,-0.871255636,0.113167308,4.461233139,0.735321999,-5.949759483,22.02926254,224.1231689,-36.29027176,-1.002929688,0.379394531,0.288574219
3755,1176658480,0.428336293,0.239529058,-0.863428593,0.116821051,4.984090328,0.838309944,-6.02675581,11.50533009,230.6987152,-37.03984451,-0.997558594,0.380371094,0.237304688
3756,1176666813,0.443419516,0.239931867,-0.855215073,0.120088145,5.498797894,0.799460649,-6.241995811,4.097755909,237.406662,-36.87574768,-1.016601563,0.375976563,0.214355469
3757,1176675146,0.45885098,0.239982605,-0.846579194,0.123166054,5.991848946,0.53278625,-6.474113941,-0.726074219,243.5894318,-35.85769272,-1.004394531,0.376464844,0.158203125
3758,1176683479,0.474527389,0.239736363,-0.837510467,0.126207754,6.399922371,0.180694133,-6.675918102,-3.096499205,250.0023041,-34.47144318,-1.020996094,0.375,0.135253906
3759,1176691812,0.490406096,0.239336982,-0.827930093,0.129436985,6.784023285,-0.015999774,-6.694206238,-1.709620118,256.1268311,-33.52021408,-1.004882813,0.370605469,0.079589844
